Date,Open,High,Low,Close,Adj Close,Volume
12-11-2018,10249.84961,10350,10087.84961,10124.54981,9388.135742,36475
13-11-2018,10135,10238.09961,10079.65039,10144.09961,9406.262695,20798
14-11-2018,10156,10440.04981,10156,10394.34961,9638.311523,89492
15-11-2018,10394.40039,10517.09961,10315.09961,10463.79981,9702.709961,93404
16-11-2018,10500,10735,10475.65039,10687.25,9909.907227,114490
19-11-2018,10786,10798.90039,10138.54981,10342.65039,9590.375,143391
20-11-2018,10384,10508.79981,10172,10254.65039,9508.774414,52173
21-11-2018,10300,10349,10181.15039,10238.29981,9493.611328,41562
22-11-2018,10306.90039,10448.7002,10220.09961,10303.25,9553.836914,50964
26-11-2018,10325,10490,10325,10453.25,9692.927734,46014
27-11-2018,10450,10563.09961,10370,10518.40039,9753.339844,38216
28-11-2018,10580,10739,10543.4502,10698.7002,9920.524414,88968
29-11-2018,10777,10777,10387,10606.4502,9834.984375,178126
30-11-2018,10700,10890.40039,10594.65039,10764.84961,9981.862305,71175
03-12-2018,10819.2002,10868.9502,10645,10745.65039,9964.058594,65561
04-12-2018,10725.2002,10783.09961,10556,10589,9818.803711,51632
05-12-2018,10550,10589,10440,10488.4502,9725.567383,85798
06-12-2018,10448.2002,10448.2002,10232,10309.34961,9559.494141,43562
07-12-2018,10330,10539.9502,10330,10404.59961,9647.81543,57802
10-12-2018,10300,10438.90039,10275.04981,10398.90039,9642.53125,94778
11-12-2018,10357,10799,10322.29981,10634.54981,9861.040039,54766
12-12-2018,10635.2002,10895,10583.9502,10844.75,10103.4541,90657
13-12-2018,10950,11198.34961,10890,10996.54981,10244.87793,76137
14-12-2018,11034,11174.84961,10918.40039,10985.90039,10234.95606,62728
17-12-2018,11005,11312.9502,11004.9502,11170.59961,10407.0293,98550
18-12-2018,11173,11300,11023.59961,11094,10335.66797,67019
19-12-2018,11199.90039,11230,11112.04981,11174.29981,10410.47754,136306
20-12-2018,11150.04981,11425,11150.04981,11232.54981,10464.74609,57925
21-12-2018,11264.7002,11323.75,10958.5,11010.40039,10257.78027,66291
24-12-2018,11056,11222,10835.54981,10923.34961,10176.68164,34191
26-12-2018,10965,10987,10745,10770.04981,10033.86133,37172
27-12-2018,10849,10969,10800.09961,10942.84961,10194.84863,52311
28-12-2018,10994,11396.65039,10931.09961,11258.59961,10489.01465,56636
31-12-2018,11300,11358,11025,11084.84961,10327.14356,46430
01-01-2019,11150,11170.40039,10989.9502,11015.04981,10262.11328,31709
02-01-2019,10980.5,11160,10907.04981,11035.40039,10281.07129,28167
03-01-2019,11111,11499,10999.90039,11207.15039,10441.08203,169291
04-01-2019,11139,11198.90039,10655.54981,10851.2002,10109.46484,206163
07-01-2019,10875,10939.65039,10700,10786.09961,10048.81348,85959
08-01-2019,10800,11240,10690,11005.40039,10253.12305,134341
09-01-2019,11099.84961,11298.40039,11058.40039,11252.25,10483.09961,98483
10-01-2019,11320,11447.79981,11139.59961,11416.59961,10636.21387,76915
11-01-2019,11400.15039,11458,11151,11273,10502.43066,57253
14-01-2019,11300,11385.7002,11189.9502,11228.65039,10461.11328,51811
15-01-2019,11296,11340,11200,11282.65039,10511.42188,49470
16-01-2019,11261.04981,11291.75,10980,11055.90039,10300.1709,136679
17-01-2019,11200,11232.9502,11122,11165.7002,10402.4668,72737
18-01-2019,11200,11326.4502,11181,11248.40039,10479.5127,76762
21-01-2019,11296,11308.9502,11150.09961,11255.25,10485.89453,19108
22-01-2019,11290,11350,11200,11236.54981,10468.47168,39958
23-01-2019,11255,11348,11240,11315.90039,10542.40039,51210
24-01-2019,11315.90039,11460,11306.04981,11433.40039,10651.86719,104618
25-01-2019,11460,11517,11300,11365.59961,10588.70117,59928
28-01-2019,11365.59961,11420,11155,11360.59961,10584.04297,103963
29-01-2019,11380,11440,11293.90039,11399.09961,10619.91016,70632
30-01-2019,11420,11439.75,11280,11396.65039,10617.62988,39290
31-01-2019,11420,11538.9502,11373.04981,11497.84961,10711.91113,95373
01-02-2019,11498.04981,11622,11430.15039,11556.54981,10766.59863,61906
04-02-2019,11515,11642.15039,11500,11533.75,10745.35449,34434
05-02-2019,11534.9502,11654,11510.09961,11607.4502,10814.01953,36727
06-02-2019,11654,11654,11469.7002,11617.40039,10823.29004,27885
07-02-2019,11615,11749,11540,11715.7002,10914.87109,36168
08-02-2019,11707.9502,11751,11111,11242.7002,10474.20313,114697
11-02-2019,11300,11300,10765.4502,10843.5,10102.29004,122841
12-02-2019,10835,10850,10615.7002,10783.79981,10046.66992,97576
14-02-2019,10541,10778.9502,10310,10628.79981,9902.264648,124563
15-02-2019,10450,10740.15039,10251,10535.4502,9815.296875,414813
18-02-2019,10549,10579.9502,10176.25,10349.4502,9642.009766,87235
19-02-2019,10350.04981,10729.04981,10350.04981,10515.40039,9796.619141,88601
20-02-2019,10531.5,10638.84961,10399.25,10521.79981,9802.579102,62379
21-02-2019,10500,10671.4502,10450,10621.9502,9895.884766,70280
22-02-2019,10639.90039,10709,10561.65039,10685.4502,9955.044922,55283
25-02-2019,10739,10870,10680,10831.65039,10091.25,42086
26-02-2019,10799,10855,10666.5,10804.40039,10065.86426,72467
27-02-2019,10804.40039,10820.65039,10651.79981,10713.7002,9981.363281,85713
28-02-2019,10750,10763.4502,10555.09961,10639.75,9912.466797,111875
01-03-2019,10640,10675,10406.04981,10451.79981,9737.366211,109782
05-03-2019,10281.4502,10566.65039,10281.4502,10505.9502,9787.814453,81658
06-03-2019,10593,10593,10195,10320.75,9615.271484,145434
07-03-2019,10340,10352.59961,10165.09961,10203.34961,9505.898438,78052
08-03-2019,10219.9502,10220,10035,10095.15039,9405.09375,98498
11-03-2019,10099.34961,10329,10031.65039,10292.79981,9589.233398,114136
12-03-2019,10298.90039,10511.9502,10260.04981,10428.90039,9716.02832,83043
13-03-2019,10528,10754.9502,10500.40039,10723.29981,9990.303711,133760
14-03-2019,10758,10770,10540,10739.29981,10005.21387,55804
15-03-2019,10701.29981,10762.04981,10230.04981,10289.90039,9586.532227,183452
18-03-2019,10375,10495.40039,10271.2002,10456.59961,9741.836914,61262
19-03-2019,10456.59961,10755,10409.84961,10707,9975.119141,82821
20-03-2019,10729.90039,10749.9502,10463.5,10530.15039,9810.360352,59630
22-03-2019,10593,10649,10527.25,10600.65039,9876.039063,85656
25-03-2019,10515.04981,10549.90039,10303,10528.29981,9808.634766,109785
26-03-2019,10565.2002,10790.25,10515.9502,10691.90039,9961.052734,150685
27-03-2019,10690.9502,11049,10576.75,10892,10147.47559,139605
28-03-2019,10938.90039,11130,10801,11073.09961,10316.19434,91828
01-04-2019,10980,11121,10861.09961,10915.15039,10169.04102,81431
02-04-2019,10979.7002,10979.7002,10700,10786.79981,10049.4668,59609
03-04-2019,10947,11067,10780,11003.75,10251.58594,74692
04-04-2019,11059,11059,10850,10961.84961,10212.54981,40177
05-04-2019,10935.04981,11091,10900,10980.75,10230.15723,26013
08-04-2019,10999,11050,10804.5,10850.59961,10108.90137,37049
09-04-2019,10889,10889,10740,10790.04981,10052.49316,75730
10-04-2019,10792.5,10850,10730,10811.9502,10072.89648,48089
11-04-2019,10795,10899,10690,10764.09961,10028.31445,93902
12-04-2019,10767.90039,11000,10764.29981,10973.79981,10223.68359,49737
