Date,Open,High,Low,Close,Adj Close,Volume
2015-06-17,5745,5900,5651,5838.899902,5238.57373,140517
2015-06-18,5864,6128,5850,6081.649902,5456.365234,118969
2015-06-19,6010,6325,6010,6281,5635.21875,145841
2015-06-22,6276,6411.149902,6215,6296.600098,5649.216309,78944
2015-06-23,6290,6290,6100.100098,6127.850098,5497.814941,54383
2015-06-24,6150,6163.149902,5981.100098,6004.100098,5386.788574,55028
2015-06-25,6005,6049,5810.25,5836.450195,5236.375977,136513
2015-06-26,5922,5970,5870,5958.149902,5345.562988,75863
2015-06-29,5825.5,6087.5,5825.5,6071.049805,5446.856934,82096
2015-06-30,6022,6392,6022,6352.200195,5699.100586,252693
2015-07-01,6400,6494,6116,6144.450195,5512.709961,168999
2015-07-02,6259.950195,6375,6215,6241.600098,5599.870605,111329
2015-07-03,6314.950195,6344.950195,6151,6165.200195,5531.325195,89765
2015-07-06,6199.950195,6199.950195,6075,6120.299805,5491.041016,38621
2015-07-07,6190,6190,6060,6084.850098,5459.23584,63527
2015-07-08,6060,6060.200195,5960.100098,5995.899902,5379.432617,109001
2015-07-09,6075,6099,6001,6029.950195,5409.980469,70819
2015-07-10,6060,6070,5926.049805,5963.399902,5350.273438,92072
2015-07-13,6020,6020,5895,5955.5,5343.187012,65745
2015-07-14,5989.899902,5994,5935.25,5953.100098,5341.030762,40738
2015-07-15,5920,5995.600098,5920,5967.899902,5354.310547,101401
2015-07-16,5989.950195,6045.5,5975.049805,6025.5,5405.989746,35537
2015-07-17,6020,6125,6019.950195,6078.600098,5453.62793,52852
2015-07-20,6104.950195,6131.799805,6057.700195,6071.049805,5446.856934,19953
2015-07-21,6099.950195,6107.850098,6050,6068.5,5444.567383,22646
2015-07-22,6048,6048,5974,5990.600098,5374.676758,26233
2015-07-23,6000,6069.899902,5999.399902,6060.399902,5437.299805,31337
2015-07-24,6052,6124.450195,6000,6033.899902,5413.524414,30532
2015-07-27,6100,6306.850098,6033,6261.399902,5617.634277,113239
2015-07-28,6265,6300,6169,6192.450195,5555.774414,53887
2015-07-29,6200,6254.600098,6082.399902,6152.649902,5520.064453,73126
2015-07-30,6032.049805,6390,5980.450195,6331.200195,5680.258301,176979
2015-07-31,6210,6390,6210,6357.399902,5703.763672,111955
2015-08-03,6385,6500,6220.049805,6326.25,5675.817871,108792
2015-08-04,6349.899902,6383.600098,6320.200195,6350.649902,5697.708008,105771
2015-08-05,6800,6998,6590.200195,6838.350098,6135.265137,364555
2015-08-06,6533.700195,6596,6450,6486.100098,5819.232422,173295
2015-08-07,6548,6560,6525.549805,6548.600098,5875.306152,69339
2015-08-10,6550,6567.299805,6347.049805,6388.399902,5731.57666,62031
2015-08-11,6460.350098,6463.950195,6300,6317.350098,5667.832031,51237
2015-08-12,6225,6350,6007.049805,6234.299805,5593.321289,114437
2015-08-13,6300,6533,6234,6317.25,5667.742676,506085
2015-08-14,6398,6398,6251.100098,6268.799805,5624.272461,63854
2015-08-17,6268.799805,6279.950195,6130,6135.399902,5504.588867,45417
2015-08-18,6201,6207,6140,6164.700195,5530.875977,63390
2015-08-19,6200,6200,6081.25,6098.700195,5471.663086,59166
2015-08-20,6124.950195,6180,6085.75,6150.899902,5518.495605,65541
2015-08-21,6075,6195,6060,6090.75,5464.529297,36949
2015-08-24,6078,6208.75,5995,6036,5415.40918,78584
2015-08-25,6094.950195,6220.799805,6029,6163.399902,5529.709961,50568
2015-08-26,6169.950195,6199.850098,6050,6064.200195,5440.709473,56983
2015-08-27,6165,6175,6030,6057,5434.250488,35980
2015-08-28,6100,6140,6040,6104.649902,5477.000488,43170
2015-08-31,6099.950195,6104.950195,5950,5965.399902,5352.067871,69408
2015-09-01,5935,6028.450195,5910,6003.600098,5386.341797,34852
2015-09-02,6041,6067.200195,5903.549805,5930,5320.308105,40575
2015-09-03,6029.5,6074.700195,5850,6035.450195,5414.916016,51799
2015-09-04,6050,6064.950195,5960.399902,5995.600098,5379.162598,19538
2015-09-07,6003,6030,5960,6001.350098,5384.321777,31004
2015-09-08,5981,6004.100098,5880,5902.200195,5295.365723,37289
2015-09-09,5939.950195,5995,5931.049805,5986.600098,5371.088867,26234
2015-09-10,6000,6014.950195,5969.950195,6005.100098,5387.686035,22946
2015-09-11,6001,6060,5961.200195,6001.25,5384.23291,14192
2015-09-14,6020,6069,6000,6056.5,5433.801758,18457
2015-09-15,6039.950195,6090,6000,6022,5402.847656,21365
2015-09-16,6087,6138,6003.850098,6096.350098,5469.555664,52025
2015-09-18,6096.350098,6260,6096.350098,6236.700195,5595.474609,64894
2015-09-21,6255,6255,6170,6176.799805,5541.73291,9914
2015-09-22,6220,6300,6125,6148.450195,5516.297363,25332
2015-09-23,6178.899902,6350.350098,6060,6219.799805,5580.3125,31449
2015-09-24,6288,6288,6152.350098,6212.049805,5573.35791,26846
2015-09-28,6245,6278,6153,6219.299805,5579.86377,27813
2015-09-29,6188,6250,6111,6179.600098,5544.244141,24187
2015-09-30,6250,6398,6213.399902,6367.649902,5712.960938,54871
2015-10-01,6364,6434,6323.149902,6422.5,5762.17041,30309
2015-10-05,6450,6482,6426,6478.600098,5812.503906,29433
2015-10-06,6480,6519,6425,6495.25,5827.441406,23236
2015-10-07,6490,6490,6314.700195,6337.549805,5685.95459,36934
2015-10-08,6392,6419,6340.350098,6367.450195,5712.78125,8972
2015-10-09,6367,6449,6352.549805,6416.549805,5756.833008,14875
2015-10-12,6417,6430.049805,6230,6256.100098,5612.879395,24060
2015-10-13,6267,6317.600098,6105.149902,6151.950195,5519.437988,46265
2015-10-14,6199,6248,6111,6210.649902,5572.102051,15619
2015-10-15,6195,6258.950195,6150.5,6206.5,5568.378906,24109
2015-10-16,6250,6669.950195,6170,6555,5881.046875,317373
2015-10-19,6598,6614.399902,6452.25,6493,5825.421875,71912
2015-10-20,6598.399902,6648.5,6510.5,6536.5,5864.450684,73153
2015-10-21,6545,6629,6440.100098,6463.299805,5798.775879,59955
2015-10-23,6550,6550,6311.200195,6328.649902,5677.969727,39067
2015-10-26,6358,6420,6280,6316.299805,5666.891602,33416
